imageId,image_file,question,answer,fullAnswer,blip_response
n256120,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n256120.png,Which kind of vehicle is in front of the flag?,van,The vehicle is a van.,vw camper van
n256120,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n256120.png,What is the vehicle that is in front of the flag?,van,The vehicle is a van.,a vw bus
n275148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n275148.png,What is hanging from the wall?,picture frame,The picture frame is hanging from the wall.,a television
n130464,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n130464.png,What's the skateboarder jumping off of?,pavement,The skateboarder is jumping off the pavement.,a train
n256120,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n256120.png,Is the van in front of a balloon?,no,"No, the van is in front of a flag.","yes, it is"
n145498,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n145498.png,What is the color of this bench?,beige,The bench is beige.,white
n501609,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n501609.png,Are the cabinets below the stove wooden and open?,no,"No, the cabinets are wooden but closed.",no
n95313,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n95313.png,How is the item of furniture that is plaid called?,bed,The piece of furniture is a bed.,a plaid chair
n151768,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n151768.png,Are the boxes to the right of the man full and square?,yes,"Yes, the boxes are full and square.",no
n6309,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n6309.png,Is the horse next to the other horse both baby and brown?,no,"No, the horse is brown but adult.",yes
n477215,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n477215.png,Is the river wide or is it narrow?,narrow,The river is narrow.,wide
n64959,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n64959.png,What appliance is the refrigerator larger than?,stove,The fridge is bigger than the stove.,the stove
n403734,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n403734.png,Is the umbrella in the bottom part of the picture?,no,"No, the umbrella is in the top of the image.",no
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,What is inside the bowl to the right of the beans?,cookies,The cookies are inside the bowl.,a cupcake
n317260,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n317260.png,How clean do you think is the face mask the catcher is wearing?,clean,The face mask is clean.,it is dirty
n570181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n570181.png,Where is the catcher standing on?,field,The catcher is standing on the field.,the field
n317260,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n317260.png,What is the color of the glove?,black,The glove is black.,white
n470920,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n470920.png,Does the blanket look soft and white?,yes,"Yes, the blanket is soft and white.",no
n35676,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n35676.png,What color are the drawers?,light brown,The drawers are light brown.,brown
n278312,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278312.png,Are there refrigerators to the left of the stove?,yes,"Yes, there is a refrigerator to the left of the stove.",no
n88933,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n88933.png,Which kind of clothing is bright?,gown,The clothing is a gown.,a dress
n571179,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n571179.png,Is there an elephant near the person that is wearing a coat?,no,"No, there is a woman near the man.",no
n571179,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n571179.png,What is the woman wearing?,gloves,The woman is wearing gloves.,purple ski suit
n571179,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n571179.png,What do you think is the standing person near the man wearing?,gloves,The woman is wearing gloves.,a helmet
n88933,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n88933.png,Which type of clothing is pink?,gown,The clothing is a gown.,a dress
n566028,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n566028.png,What is the person that is sitting down sitting atop?,stairs,The person is sitting atop the stairs.,a skateboard
n500209,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n500209.png,What's standing on the floor?,shelf,The shelf is standing on the floor.,a book shelf
n531359,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n531359.png,What items of furniture are to the left of the boy?,tables,The pieces of furniture are tables.,tables and chairs
n500209,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n500209.png,What is in front of the wall that is not short?,shelf,The shelf is in front of the wall.,a book shelf
n259949,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259949.png,How wide is the parking lot made of cement?,wide,The parking lot is wide.,it is wide
n473688,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n473688.png,On which side of the picture is the clean mirror?,left,The mirror is on the left of the image.,the right side
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,What is the device in front of the flat computer?,phone,The device is a phone.,a printer
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,What is sitting on the floor?,gift,The gift is sitting on the floor.,a snowboard
n37274,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n37274.png,Is there a blender to the right of the yellow drink?,yes,"Yes, there is a blender to the right of the liquor.",yes
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,Is the gift sitting on the floor?,yes,"Yes, the gift is sitting on the floor.","no, it's sitting on the table"
n250715,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n250715.png,"Which material makes up the round glasses, glass or wire?",glass,The glasses are made of glass.,wire
n250715,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n250715.png,What are the glasses made of?,glass,The glasses are made of glass.,plastic
n14087,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n14087.png,What animal is the couch behind of?,dog,The couch is behind the dog.,a dog
n367944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n367944.png,What is the color of the device that is on the left of the photo?,black,The calculator is black.,black
n369313,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n369313.png,Is the knife to the right of a man?,no,"No, the knife is to the left of a man.",yes
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,What device is above the keyboard?,monitor,The device is a monitor.,a monitor
n318684,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n318684.png,What is the man to the left of the glasses doing?,resting,The man is resting.,he is holding an umbrella
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,What is the phone made of?,plastic,The telephone is made of plastic.,plastic
n309148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n309148.png,Are there any red fire trucks?,no,"No, there is a fire truck but it is white.","yes, there are red fire trucks"
n208302,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n208302.png,Which kind of vehicle is waiting for the traffic light?,cars,The vehicles are cars.,a car
n208302,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n208302.png,What kind of vehicle is waiting for the traffic light?,cars,The vehicles are cars.,a car
n403734,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n403734.png,The electronic device to the left of the notebook has what color?,blue,The ipod is blue.,red
n208302,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n208302.png,What are the vehicles above the road near the side walk?,cars,The vehicles are cars.,a bus
n208302,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n208302.png,What is waiting for the traffic light?,cars,The cars are waiting for the traffic light.,a car
n507959,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n507959.png,What is sitting in front of the table that looks yellow and black?,luggage,The luggage is sitting in front of the table.,a suitcase
n473688,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n473688.png,Are there both toothbrushes and mats in this picture?,no,"No, there is a toothbrush but no mats.",yes
n473688,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n473688.png,Is the soap dish to the right of the soap dispenser?,yes,"Yes, the soap dish is to the right of the soap dispenser.",no
n208302,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n208302.png,The parked vehicles are waiting for what?,traffic light,The cars are waiting for the signal light.,a traffic light
n298104,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n298104.png,Are the shorts large and blue?,no,"No, the shorts are blue but small.",no
n473688,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n473688.png,The soap dispenser made of chrome is sitting on what?,countertop,The soap dispenser is sitting on the countertop.,a counter
n55058,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n55058.png,What color is the serving tray that looks rectangular?,white,The serving tray is white.,brown
n398257,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n398257.png,Does the device under the picture frame look black?,no,"No, the computer monitor is white.",no
n526228,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n526228.png,"Which material are the trousers made of, cloth or leather?",cloth,The trousers are made of cloth.,leather
n351318,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n351318.png,"How do the pens look, colorful or black and white?",black and white,The pens are black and white.,black and white
n342511,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n342511.png,Who is the jacket worn around?,man,The jacket is worn around the man.,a woman
n351318,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n351318.png,On which side of the picture are the pens?,right,The pens are on the right of the image.,right side
n315859,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315859.png,Do you see any skis?,yes,"Yes, there are skis.",no
n111390,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n111390.png,What is the item of furniture to the right of the lady that is looking down at the cake called?,table,The piece of furniture is a table.,a table
n429883,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n429883.png,Is the man to the left of the performer brunette or blond?,blond,The man is blond.,brunette
n293477,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n293477.png,Is the cell phone lying on top of a desk?,no,"No, the cell phone is lying on top of a bed.",no
n471866,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n471866.png,Is the plastic helmet to the left of a woman?,yes,"Yes, the helmet is to the left of a woman.",yes
n184385,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n184385.png,Does the utensil beside the pan have black color and small size?,no,"No, the spoon is small but silver.",no
n204894,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n204894.png,Who is wearing jeans?,child,The kid is wearing jeans.,the boy
n146522,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n146522.png,Do the balls to the left of the other ball look light?,yes,"Yes, the balls are light.",yes
n222297,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n222297.png,What gender is the swimsuit?,male,The swimsuit is male.,male
n314630,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n314630.png,Is the toaster to the right of a refrigerator?,no,"No, the toaster is to the right of the house.",no
n494677,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n494677.png,Are the trees on the field bare or lush?,lush,The trees are lush.,lush
n66756,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n66756.png,Is the net in front of the man?,yes,"Yes, the net is in front of the man.",no
n494677,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n494677.png,Is the weather cloudy?,yes,"Yes, it is cloudy.",yes
n567860,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n567860.png,What is common to the door and the kitten?,color,"The color, both the door and the kitten are white.",they are both white
n67005,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n67005.png,Is the jacket made of cotton large or small?,small,The jacket is small.,large
n527290,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n527290.png,Is the gray chair to the left or to the right of the couch in the picture?,right,The chair is to the right of the couch.,to the right
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,Is the soccer player that is to the left of the ball female or male?,male,The soccer player is male.,female
n171169,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n171169.png,Was iron used to make the fence?,no,"No, the fence is made of wire.",no
n324908,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n324908.png,What color is the hair?,black,The hair is black.,brown
n281241,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n281241.png,What is the picture hanging above?,chair,The picture is hanging above the chair.,a man with a tie
n281241,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n281241.png,The framed picture is hanging above what?,chair,The picture is hanging above the chair.,a desk
n39114,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n39114.png,Is the hat wet?,no,"No, the hat is dry.",no
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,Who is running?,soccer player,The soccer player is running.,the soccer players
n282436,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n282436.png,What is the large device called?,keyboard,The device is a keyboard.,computer
n471866,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n471866.png,Who is wearing a helmet?,policeman,The police officer is wearing a helmet.,a police officer
n386682,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n386682.png,What is beneath the microwave?,dishwasher,The dishwasher is beneath the microwave.,a washer and dryer
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,Is the dress shirt gray or teal?,teal,The dress shirt is teal.,teal
n351318,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n351318.png,Of what color are the scissors?,gray,The scissors are gray.,blue
n59147,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n59147.png,On which side of the photo is the toilet brush?,left,The toilet brush is on the left of the image.,right side
n262929,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n262929.png,What is the boy on?,bike,The boy is on the bike.,a bike
n59147,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n59147.png,Do you see either any containers or dream catchers?,no,"No, there are no containers or dream catchers.",no
n262929,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n262929.png,Is the young person on the bike?,yes,"Yes, the boy is on the bike.",yes
n512257,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n512257.png,What is the name of the clothing item that is navy?,jacket,The clothing item is a jacket.,suit
n513429,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513429.png,What is in front of the poster?,monitor,The monitor is in front of the poster.,a computer
n350732,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n350732.png,Are there both girls and soccer balls in this image?,no,"No, there is a soccer ball but no girls.",yes
n546616,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n546616.png,What kind of food is to the left of the baby?,marshmallow,The food is a marshmallow.,cake
n59147,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n59147.png,What item of furniture is the toilet paper to the right of the toilet resting on?,chair,The toilet paper is resting on the chair.,a chair
n59147,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n59147.png,The toilet paper to the right of the toilet is resting on what?,chair,The toilet paper is resting on the chair.,a chair
n352479,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n352479.png,Are there either any skateboarders or snowboarders that are jumping?,no,"No, there is a snowboarder but she is standing.",no
n39114,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n39114.png,What shape is the bench?,rectangular,The bench is rectangular.,a t-shaped bench
n496803,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n496803.png,What is the person below the crowd bigger than?,sneakers,The person is bigger than the sneakers.,the person above
n66756,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n66756.png,Does the brown field appear to be large and dirty?,yes,"Yes, the field is large and dirty.",yes
n162586,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n162586.png,Does the picture frame made of plastic look black and small?,yes,"Yes, the picture frame is black and small.",no
n532191,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n532191.png,Is there a silver laptop or DVD player?,no,"No, there is a laptop but it is black.",no
n352479,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n352479.png,Who is standing?,snowboarder,The snowboarder is standing.,a girl
n181355,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n181355.png,What piece of furniture is made of wood?,coffee table,The piece of furniture is a coffee table.,couch
n181355,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n181355.png,What piece of furniture is wooden?,coffee table,The piece of furniture is a coffee table.,couch
n181355,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n181355.png,How the piece of furniture that is made of wood is called?,coffee table,The piece of furniture is a coffee table.,couch
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,Who is looking up?,spectator,The spectator is looking up.,the man in the blue shirt
n88933,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n88933.png,Which kind of furniture is blue?,sofa,The furniture is a sofa.,bench
n513429,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n513429.png,What is that monitor in front of?,poster,The monitor is in front of the poster.,a laptop
